Date : 2026-06-23 01:18:40
Directory : c:\mostafa\homework\Capstone Project\sophiapath-web
Total : 78 files,  52790 codes, 715 comments, 3347 blanks, all 56852 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         34 |     20,576 |        607 |      2,069 |     23,252 |
| JavaScript     |         16 |     17,401 |         24 |         68 |     17,493 |
| PostCSS        |         21 |      7,035 |         78 |      1,093 |      8,206 |
| JSON           |          2 |      4,135 |          0 |          2 |      4,137 |
| Diff           |          1 |      3,618 |          6 |        105 |      3,729 |
| HTML           |          1 |         13 |          0 |          1 |         14 |
| Markdown       |          1 |         10 |          0 |          9 |         19 |
| XML            |          2 |          2 |          0 |          0 |          2 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         78 |     52,790 |        715 |      3,347 |     56,852 |
| . (Files)                                                                                          |          9 |      7,865 |         13 |        135 |      8,013 |
| public                                                                                             |          1 |          1 |          0 |          0 |          1 |
| scratch                                                                                            |          4 |        208 |          0 |         30 |        238 |
| src                                                                                                |         64 |     44,716 |        702 |      3,182 |     48,600 |
| src (Files)                                                                                        |          4 |        813 |          9 |         80 |        902 |
| src\assets                                                                                         |          1 |          1 |          0 |          0 |          1 |
| src\components                                                                                     |          8 |      6,880 |        244 |        718 |      7,842 |
| src\components (Files)                                                                             |          3 |      6,491 |        241 |        680 |      7,412 |
| src\components\common                                                                              |          1 |         72 |          0 |          3 |         75 |
| src\components\course                                                                              |          3 |        288 |          3 |         32 |        323 |
| src\components\ui                                                                                  |          1 |         29 |          0 |          3 |         32 |
| src\context                                                                                        |          2 |        371 |         14 |         61 |        446 |
| src\data                                                                                           |          7 |     16,798 |         17 |          8 |     16,823 |
| src\data (Files)                                                                                   |          2 |         91 |         17 |          4 |        112 |
| src\data\courses                                                                                   |          5 |     16,707 |          0 |          4 |     16,711 |
| src\features                                                                                       |         11 |      2,986 |         70 |        362 |      3,418 |
| src\features\achievements                                                                          |          2 |        566 |         23 |         74 |        663 |
| src\features\chat                                                                                  |          3 |        643 |         16 |         84 |        743 |
| src\features\editor                                                                                |          2 |        485 |         15 |         54 |        554 |
| src\features\profile                                                                               |          2 |      1,010 |         16 |        116 |      1,142 |
| src\features\settings                                                                              |          2 |        282 |          0 |         34 |        316 |
| src\pages                                                                                          |         30 |     16,561 |        348 |      1,941 |     18,850 |
| src\theme                                                                                          |          1 |        306 |          0 |         12 |        318 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                           | language       | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\mostafa\homework\Capstone Project\sophiapath-web\README.md                                      | Markdown       |         10 |          0 |          9 |         19 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\eslint.config.js                               | JavaScript     |         28 |          0 |          2 |         30 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\index.html                                     | HTML           |         13 |          0 |          1 |         14 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\local_changes.diff                             | Diff           |      3,618 |          6 |        105 |      3,729 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\package-lock.json                              | JSON           |      4,093 |          0 |          1 |      4,094 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\package.json                                   | JSON           |         42 |          0 |          1 |         43 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\public\vite.svg                                | XML            |          1 |          0 |          0 |          1 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\scratch\gen_all_courses.js                     | JavaScript     |         74 |          0 |          8 |         82 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\scratch\gen_mobile_dev.js                      | JavaScript     |         53 |          0 |          6 |         59 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\scratch\inspect_exercises.cjs                  | JavaScript     |         40 |          0 |          8 |         48 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\scratch\inspect_exercises.js                   | JavaScript     |         41 |          0 |          8 |         49 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\App.css                                    | PostCSS        |        193 |          4 |         36 |        233 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\App.jsx                                    | JavaScript JSX |         25 |          2 |          5 |         32 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\assets\react.svg                           | XML            |          1 |          0 |          0 |          1 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\CppPlaygroundDialog.jsx         | JavaScript JSX |      1,936 |         93 |        224 |      2,253 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\JavaOopUmlPlayground.jsx        | JavaScript JSX |      4,546 |        148 |        452 |      5,146 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\ScrollToTop.jsx                 | JavaScript JSX |          9 |          0 |          4 |         13 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\common\BottomNavigation.jsx     | JavaScript JSX |         72 |          0 |          3 |         75 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\course\CourseCard.jsx           | JavaScript JSX |         41 |          0 |          6 |         47 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\course\Lesson.jsx               | JavaScript JSX |         74 |          0 |          9 |         83 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\course\UmlDiagram.jsx           | JavaScript JSX |        173 |          3 |         17 |        193 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\ui\AchievementCard.jsx          | JavaScript JSX |         29 |          0 |          3 |         32 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\context\AuthContext.jsx                    | JavaScript JSX |        334 |         14 |         51 |        399 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\context\ThemeContext.jsx                   | JavaScript JSX |         37 |          0 |         10 |         47 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\data\achievements.js                       | JavaScript     |         86 |         17 |          2 |        105 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\data\courses.js                            | JavaScript     |          5 |          0 |          2 |          7 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\data\courses\cybersecurity.js              | JavaScript     |      4,138 |          0 |          0 |      4,138 |
